,"business service (e.g., internet access)",check in / front desk,cleanliness,location,overall,rooms,service,sleep quality,value,Date
0,,,5,5,5.0,5,5,5,5,2012-03-25
1,,,2,3,1.0,2,3,1,2,2012-03-24
2,,,4,5,5.0,4,5,4,4,2012-03-24
3,,,5,5,5.0,5,5,5,5,2012-03-24
4,,,5,5,5.0,5,5,5,5,2012-03-23
5,,,4,5,4.0,4,4,4,4,2012-03-22
6,,,4,5,4.0,3,4,3,5,2012-03-22
7,,,4,4,3.0,3,2,4,3,2012-03-20
8,,,4,5,4.0,3,5,3,4,2012-03-19
9,,,5,4,4.0,5,5,3,4,2012-03-19
10,,,5,5,5.0,5,5,4,4,2012-03-19
11,,,5,4,4.0,4,5,3,4,2012-03-17
12,,,5,5,4.0,5,4,5,5,2012-03-16
13,,,5,4,4.0,5,3,5,5,2012-03-15
14,,,5,5,5.0,5,4,3,4,2012-03-15
15,,,5,5,5.0,5,5,5,5,2012-03-14
16,,,4,4,4.0,4,4,4,3,2012-03-13
17,,,4,4,3.0,3,4,3,3,2012-03-13
18,,,4,4,5.0,5,4,4,5,2012-03-12
19,,,5,5,5.0,5,5,5,5,2012-03-11
20,,,4,3,3.0,4,4,3,3,2012-03-10
21,,,5,5,4.0,3,5,4,5,2012-03-08
22,,,5,5,5.0,5,5,5,5,2012-03-07
23,,,5,5,4.0,3,3,3,4,2012-03-07
24,,,4,4,4.0,3,5,4,5,2012-03-04
25,,,5,5,5.0,5,5,5,5,2012-03-03
26,,,4,4,4.0,5,4,4,4,2012-03-02
27,,,5,5,5.0,5,5,,5,2012-03-02
28,,,5,5,5.0,5,5,5,5,2012-02-29
29,,,5,4,5.0,4,5,5,5,2012-02-28
30,,,5,5,5.0,5,5,5,5,2012-02-26
31,,,4,3,3.0,5,2,4,3,2012-02-26
32,,,5,5,4.0,5,5,4,3,2012-02-26
33,,,5,3,3.0,3,3,3,3,2012-02-26
34,,,4,4,5.0,5,5,4,4,2012-02-25
35,,,5,3,4.0,4,4,3,4,2012-02-25
36,,,5,5,5.0,5,5,5,5,2012-02-24
37,,,5,4,5.0,5,4,5,4,2012-02-24
38,,,4,5,2.0,5,2,4,2,2012-02-24
39,,,4,5,3.0,3,4,3,3,2012-02-24
40,,,3,3,3.0,3,2,2,2,2012-02-22
41,,,4,4,3.0,4,4,2,3,2012-02-22
42,,,5,5,5.0,5,5,4,5,2012-02-21
43,,,2,4,3.0,3,3,3,2,2012-02-20
44,,,5,5,5.0,5,5,5,5,2012-02-20
45,,,4,5,4.0,5,4,5,5,2012-02-19
46,,,5,4,4.0,4,4,2,3,2012-02-16
47,,,5,4,4.0,5,4,5,4,2012-02-14
48,,,5,5,5.0,5,5,5,5,2012-02-12
49,,,4,4,4.0,4,3,4,3,2012-02-12
50,,,5,5,5.0,5,5,4,5,2012-02-11
51,,,5,5,5.0,5,5,5,5,2012-02-11
52,,,3,5,5.0,4,5,4,5,2012-02-07
53,,,5,5,5.0,5,5,5,5,2012-02-07
54,,,5,4,4.0,5,4,4,4,2012-02-06
55,,,4,5,3.0,4,4,3,4,2012-02-05
56,,,5,5,5.0,5,5,4,5,2012-02-04
57,,,5,5,5.0,5,5,5,5,2012-02-03
58,,,4,5,4.0,4,5,4,4,2012-02-02
59,,,,,4.0,,,,,2012-02-01
60,,,3,3,3.0,3,3,3,3,2012-02-01
61,,,4,5,5.0,5,5,5,5,2012-01-31
62,,,5,5,4.0,4,4,4,4,2012-01-31
63,,,5,5,5.0,5,5,4,5,2012-01-30
64,,,5,5,5.0,5,5,5,5,2012-01-30
65,,,5,4,5.0,5,4,5,4,2012-01-30
66,,,4,4,4.0,4,4,4,4,2012-01-30
67,,,2,4,2.0,2,3,1,3,2012-01-30
68,,,4,4,4.0,3,4,3,4,2012-01-30
69,,,5,5,5.0,5,5,5,5,2012-01-30
70,,,5,5,5.0,5,5,5,5,2012-01-30
71,,,5,5,5.0,5,5,5,5,2012-01-29
72,,,5,5,5.0,5,5,3,5,2012-01-28
73,,,4,3,3.0,3,4,2,4,2012-01-28
74,,,5,4,4.0,4,5,5,4,2012-01-27
75,,,5,5,5.0,5,5,5,5,2012-01-27
76,,,5,5,4.0,5,5,5,5,2012-01-25
77,,,5,5,5.0,4,5,5,4,2012-01-25
78,,,5,5,5.0,5,5,5,4,2012-01-24
79,,,5,5,5.0,5,5,5,5,2012-01-24
80,,,4,4,4.0,4,4,4,4,2012-01-24
81,,,4,4,4.0,4,3,3,3,2012-01-24
82,,,5,5,5.0,4,5,4,5,2012-01-23
83,,,4,5,4.0,5,4,,4,2012-01-22
84,,,4,4,3.0,4,3,4,4,2012-01-21
85,,,5,5,5.0,5,5,5,5,2012-01-21
86,,,5,5,5.0,5,5,,5,2012-01-20
87,,,5,5,4.0,4,4,4,4,2012-01-19
88,,,3,3,1.0,1,1,1,1,2012-01-19
89,,,4,2,2.0,3,2,3,2,2012-01-19
90,,,5,4,5.0,5,5,5,5,2012-01-18
91,,,5,3,3.0,3,4,4,3,2012-01-17
92,,,4,4,4.0,4,5,4,4,2012-01-16
93,,,5,5,5.0,5,5,5,4,2012-01-16
94,,,5,5,5.0,5,5,5,5,2012-01-15
95,,,5,5,4.0,5,5,5,4,2012-01-15
96,,,5,5,4.0,4,4,4,4,2012-01-14
97,,,3,5,3.0,2,2,1,1,2012-01-12
98,,,5,5,4.0,5,5,4,4,2012-01-12
99,,,3,3,1.0,2,1,3,3,2012-01-11
